calibre	com.calibre_ebook.calibre	8.4.0	stable	system
Discord	com.discordapp.Discord	0.0.98	stable	system
PDF Arranger	com.github.jeromerobert.pdfarranger	1.12.1	stable	system
Flatseal	com.github.tchx84.Flatseal	2.3.1	stable	system
Easy Effects	com.github.wwmm.easyeffects	7.2.3	stable	system
Google Chrome	com.google.Chrome	137.0.7151.119-1	stable	system
OBS Studio	com.obsproject.Studio	31.0.3	stable	system
Steam	com.valvesoftware.Steam	1.0.0.81	stable	system
Obsidian	md.obsidian.Obsidian	1.8.10	stable	system
Blender	org.blender.Blender	4.4.3	stable	system
FileZilla	org.filezillaproject.Filezilla	3.68.1	stable	system
FreeCAD	org.freecad.FreeCAD	1.0.1	stable	system
GNU Image Manipulation Program	org.gimp.GIMP	3.0.4	stable	system
Inkscape	org.inkscape.Inkscape	1.4.2	stable	system
qBittorrent	org.qbittorrent.qBittorrent	5.1.0	stable	system
VLC	org.videolan.VLC	3.0.21	stable	system
